review_text,rating,scrape_date,review_date,category,word_count
"A high-end bar that provides a great place to network while enjoying drinks, food, and genuine conversations. The crowd typically includes girls aged 22–35 and men aged 30–45 - this isn’t the place for uni students looking for affordable …",5,2026-01-02,2025-08-05,Crowd & Atmosphere,40
"A high-end bar that provides a great place to network while enjoying drinks, food, and genuine conversations. The crowd typically includes girls aged 22–35 and men aged 30–45 - this isn’t the place for uni students looking for affordable …",5,2026-01-02,2025-08-05,Service & Staff,40
"A high-end bar that provides a great place to network while enjoying drinks, food, and genuine conversations. The crowd typically includes girls aged 22–35 and men aged 30–45 - this isn’t the place for uni students looking for affordable …",5,2026-01-02,2025-08-05,Facilities & Safety,40
Fantastic French food plus an amazing live music show,5,2026-01-02,2025-07-06,Music & DJ,9
Loved my time here. The pepperoni pizza was really good and the cocktails were delicious. The live performances elevated the experience. I would recommend.,5,2026-01-02,2025-09-04,Drinks & Alcohol,24
One positive thing I must say about Kor is that they play fantastic music. It’s like a mixture of old school and current jams. Very well done! Now onto the reason why I gave it a 3! It’s usually way too crowded and they can be quite strict …,3,2026-01-02,2024-01-03,Music & DJ,49
One positive thing I must say about Kor is that they play fantastic music. It’s like a mixture of old school and current jams. Very well done! Now onto the reason why I gave it a 3! It’s usually way too crowded and they can be quite strict …,3,2026-01-02,2024-01-03,Crowd & Atmosphere,49
"It was my first time at this place, and the service and drinks were really good. Although the interior design was aesthetic beautiful, it was functionally awkward. The space was awkward to dance in especially as it got busier. …",5,2026-01-02,2024-01-03,Drinks & Alcohol,40
"It was my first time at this place, and the service and drinks were really good. Although the interior design was aesthetic beautiful, it was functionally awkward. The space was awkward to dance in especially as it got busier. …",5,2026-01-02,2024-01-03,Crowd & Atmosphere,40
"It was my first time at this place, and the service and drinks were really good. Although the interior design was aesthetic beautiful, it was functionally awkward. The space was awkward to dance in especially as it got busier. …",5,2026-01-02,2024-01-03,Service & Staff,40
"It was my first time at this place, and the service and drinks were really good. Although the interior design was aesthetic beautiful, it was functionally awkward. The space was awkward to dance in especially as it got busier. …",5,2026-01-02,2024-01-03,Facilities & Safety,40
Great place to grab a drink after dinner.  Greeted by Tim and Vincente and their service was remarkable. Tell em what u feel like having and they will make the right drink for you.  Atmosphere is great with great people.,5,2026-01-02,2024-01-03,Drinks & Alcohol,40
Great place to grab a drink after dinner.  Greeted by Tim and Vincente and their service was remarkable. Tell em what u feel like having and they will make the right drink for you.  Atmosphere is great with great people.,5,2026-01-02,2024-01-03,Crowd & Atmosphere,40
Great place to grab a drink after dinner.  Greeted by Tim and Vincente and their service was remarkable. Tell em what u feel like having and they will make the right drink for you.  Atmosphere is great with great people.,5,2026-01-02,2024-01-03,Service & Staff,40
Great place to grab a drink after dinner.  Greeted by Tim and Vincente and their service was remarkable. Tell em what u feel like having and they will make the right drink for you.  Atmosphere is great with great people.,5,2026-01-02,2024-01-03,Facilities & Safety,40
"One of the greatest, if not best bar/club/whatever in Taipei.  Everyone is used to a place with good drinks but horrible service, great service but horrible atmosphere, or great atmosphere but horrible drinks.  Yet KOR has it all. …",5,2026-01-02,2024-01-03,Drinks & Alcohol,39
"One of the greatest, if not best bar/club/whatever in Taipei.  Everyone is used to a place with good drinks but horrible service, great service but horrible atmosphere, or great atmosphere but horrible drinks.  Yet KOR has it all. …",5,2026-01-02,2024-01-03,Crowd & Atmosphere,39
"One of the greatest, if not best bar/club/whatever in Taipei.  Everyone is used to a place with good drinks but horrible service, great service but horrible atmosphere, or great atmosphere but horrible drinks.  Yet KOR has it all. …",5,2026-01-02,2024-01-03,Service & Staff,39
"One of the greatest, if not best bar/club/whatever in Taipei.  Everyone is used to a place with good drinks but horrible service, great service but horrible atmosphere, or great atmosphere but horrible drinks.  Yet KOR has it all. …",5,2026-01-02,2024-01-03,Facilities & Safety,39
This 2 staffs said our outfit wasn’t fit their club?!!  They said without explanation which reason was more reasonable! Famous club in Taipei with nonsense and poor English service staffs here !,1,2026-01-02,2025-04-07,Service & Staff,32
"Excellent first class cocktails, with no crowds at all, a chill out place.",4,2026-01-02,2025-04-07,Drinks & Alcohol,13
"Excellent first class cocktails, with no crowds at all, a chill out place.",4,2026-01-02,2025-04-07,Crowd & Atmosphere,13
"Excellent first class cocktails, with no crowds at all, a chill out place.",4,2026-01-02,2025-04-07,Facilities & Safety,13
"3 of us arrived at Friday night, been asked that do we want to book a table, we told them no . Then they disallowed us to enter and give excuse that we are not in proper attire . The funny thing is if we are booking the room/table . They …",1,2026-01-02,2025-09-04,Crowd & Atmosphere,52
"3 of us arrived at Friday night, been asked that do we want to book a table, we told them no . Then they disallowed us to enter and give excuse that we are not in proper attire . The funny thing is if we are booking the room/table . They …",1,2026-01-02,2025-09-04,Service & Staff,52
"The staff at KOR are professional, amazing at making cocktails and so friendly. We visited for a week and this was our first stop on a Tuesday in Taipei for cocktail bars. The ambience is casual, but decor and look are classy. …",5,2026-01-02,2024-01-03,Drinks & Alcohol,43
"The staff at KOR are professional, amazing at making cocktails and so friendly. We visited for a week and this was our first stop on a Tuesday in Taipei for cocktail bars. The ambience is casual, but decor and look are classy. …",5,2026-01-02,2024-01-03,Service & Staff,43
Great Drinks with even better bartenders. Very entertaining and is a must visit for any trip to Taipei.,5,2026-01-02,2025-01-02,Drinks & Alcohol,18
"The mood is super nice to enjoy with friends or alone as well. Because people who are here are interested in making new friends! The drinks and service for customers are  also great 👍 I'm satisfied with it! If I come to Taipei again, I will definitely come here! …",5,2026-01-02,2024-01-03,Drinks & Alcohol,50
"The mood is super nice to enjoy with friends or alone as well. Because people who are here are interested in making new friends! The drinks and service for customers are  also great 👍 I'm satisfied with it! If I come to Taipei again, I will definitely come here! …",5,2026-01-02,2024-01-03,Crowd & Atmosphere,50
"The mood is super nice to enjoy with friends or alone as well. Because people who are here are interested in making new friends! The drinks and service for customers are  also great 👍 I'm satisfied with it! If I come to Taipei again, I will definitely come here! …",5,2026-01-02,2024-01-03,Service & Staff,50
"The place is welcoming even to tourists! The atmosphere, bartender, cocktails, crowd, and the music were excellent. Will definitely come back!",5,2026-01-02,2025-01-02,Music & DJ,21
"The place is welcoming even to tourists! The atmosphere, bartender, cocktails, crowd, and the music were excellent. Will definitely come back!",5,2026-01-02,2025-01-02,Drinks & Alcohol,21
"The place is welcoming even to tourists! The atmosphere, bartender, cocktails, crowd, and the music were excellent. Will definitely come back!",5,2026-01-02,2025-01-02,Crowd & Atmosphere,21
"The place is welcoming even to tourists! The atmosphere, bartender, cocktails, crowd, and the music were excellent. Will definitely come back!",5,2026-01-02,2025-01-02,Facilities & Safety,21
Be careful of dress code here. Polo tees are considered tshirts to them while they let actual tshirts in.,2,2026-01-02,2025-10-04,Facilities & Safety,19
Upscale night club lounge with quality cocktails and music. Good vibe. Great music. Famous in Taipei.,5,2026-01-02,2025-01-02,Music & DJ,16
Upscale night club lounge with quality cocktails and music. Good vibe. Great music. Famous in Taipei.,5,2026-01-02,2025-01-02,Drinks & Alcohol,16
Upscale night club lounge with quality cocktails and music. Good vibe. Great music. Famous in Taipei.,5,2026-01-02,2025-01-02,Crowd & Atmosphere,16
Highly recommended...its more a huge lounge than club.  music isnt too loud so one can have a decent conversation. …,5,2026-01-02,2019-01-04,Music & DJ,20
Popular Taipei city club. Clientele age range seems little older crowd.  Gets very very crowded on weekends and it's hard to move at all and the bathroom line is insane,4,2026-01-02,2025-08-05,Music & DJ,30
Popular Taipei city club. Clientele age range seems little older crowd.  Gets very very crowded on weekends and it's hard to move at all and the bathroom line is insane,4,2026-01-02,2025-08-05,Crowd & Atmosphere,30
Popular Taipei city club. Clientele age range seems little older crowd.  Gets very very crowded on weekends and it's hard to move at all and the bathroom line is insane,4,2026-01-02,2025-08-05,Facilities & Safety,30
Unfriendly and rude staff who refused to let me in but let everybody else in. It''s alright. Will never go to your club again. Obvious discrimination. U have no dress code and I am better dressed than the punks you let in. Was going to order a lot of champagne since it's my last night in Taipei..now U get none.,1,2026-01-02,2025-07-06,Drinks & Alcohol,60
Unfriendly and rude staff who refused to let me in but let everybody else in. It''s alright. Will never go to your club again. Obvious discrimination. U have no dress code and I am better dressed than the punks you let in. Was going to order a lot of champagne since it's my last night in Taipei..now U get none.,1,2026-01-02,2025-07-06,Service & Staff,60
"Beautiful interior, lively music, great go-go dancers and strong alcohol. Absolutely packed on the weekends but what else do you expect? XD",5,2026-01-02,2021-01-03,Music & DJ,22
"Beautiful interior, lively music, great go-go dancers and strong alcohol. Absolutely packed on the weekends but what else do you expect? XD",5,2026-01-02,2021-01-03,Drinks & Alcohol,22
"Beautiful interior, lively music, great go-go dancers and strong alcohol. Absolutely packed on the weekends but what else do you expect? XD",5,2026-01-02,2021-01-03,Crowd & Atmosphere,22
"Beautiful interior, lively music, great go-go dancers and strong alcohol. Absolutely packed on the weekends but what else do you expect? XD",5,2026-01-02,2021-01-03,Facilities & Safety,22
"Cool place, we had one of the table upstairs, to me feels more a lounge than a club, good looking design, music is ok not very loud you can talk, plenty of light too, but after a few drinks you may need more action than this (at least for …",4,2026-01-02,2019-01-04,Music & DJ,50
"Cool place, we had one of the table upstairs, to me feels more a lounge than a club, good looking design, music is ok not very loud you can talk, plenty of light too, but after a few drinks you may need more action than this (at least for …",4,2026-01-02,2019-01-04,Drinks & Alcohol,50
"Cool place, we had one of the table upstairs, to me feels more a lounge than a club, good looking design, music is ok not very loud you can talk, plenty of light too, but after a few drinks you may need more action than this (at least for …",4,2026-01-02,2019-01-04,Crowd & Atmosphere,50
"Cool place, we had one of the table upstairs, to me feels more a lounge than a club, good looking design, music is ok not very loud you can talk, plenty of light too, but after a few drinks you may need more action than this (at least for …",4,2026-01-02,2019-01-04,Facilities & Safety,50
"Best super lounge club in Taipei. Amazing music, top tier service and staff, and most welcoming community. Drinks flow, pizza is delicious, and people are fun and friendly. I used to live here.",5,2026-01-02,2025-03-08,Music & DJ,33
"Best super lounge club in Taipei. Amazing music, top tier service and staff, and most welcoming community. Drinks flow, pizza is delicious, and people are fun and friendly. I used to live here.",5,2026-01-02,2025-03-08,Drinks & Alcohol,33
"Best super lounge club in Taipei. Amazing music, top tier service and staff, and most welcoming community. Drinks flow, pizza is delicious, and people are fun and friendly. I used to live here.",5,2026-01-02,2025-03-08,Crowd & Atmosphere,33
"Best super lounge club in Taipei. Amazing music, top tier service and staff, and most welcoming community. Drinks flow, pizza is delicious, and people are fun and friendly. I used to live here.",5,2026-01-02,2025-03-08,Service & Staff,33
"If you’re not white or Asian you’ve been warned, this place refused to admit us (they have the right to do so without letting us know why, which okay fair it’s your business) but we didn’t break any of their attire rules or anything else. …",1,2026-01-02,2025-05-07,Crowd & Atmosphere,46
"If you’re not white or Asian you’ve been warned, this place refused to admit us (they have the right to do so without letting us know why, which okay fair it’s your business) but we didn’t break any of their attire rules or anything else. …",1,2026-01-02,2025-05-07,Facilities & Safety,46
"This is a great bar to have some drinks with good friends, however, everything is on the rather pricey side. Expect to leave a few grand for a couple hours of fun. …",4,2026-01-02,2025-01-02,Drinks & Alcohol,33
"This is a great bar to have some drinks with good friends, however, everything is on the rather pricey side. Expect to leave a few grand for a couple hours of fun. …",4,2026-01-02,2025-01-02,Crowd & Atmosphere,33
"This is a great bar to have some drinks with good friends, however, everything is on the rather pricey side. Expect to leave a few grand for a couple hours of fun. …",4,2026-01-02,2025-01-02,Service & Staff,33
"This is a great bar to have some drinks with good friends, however, everything is on the rather pricey side. Expect to leave a few grand for a couple hours of fun. …",4,2026-01-02,2025-01-02,Price & Entry,33
"Joy was so helpful and friendly. She recommended us guava & bubble tea mocktails, both are great! We love it!",5,2026-01-02,2024-01-03,Service & Staff,20
Staff at door are rude and discriminatory. DJ switched genres way too much. But it’s quite a nice place. Beer not too expensive.,3,2026-01-02,2025-01-02,Music & DJ,23
Staff at door are rude and discriminatory. DJ switched genres way too much. But it’s quite a nice place. Beer not too expensive.,3,2026-01-02,2025-01-02,Drinks & Alcohol,23
Staff at door are rude and discriminatory. DJ switched genres way too much. But it’s quite a nice place. Beer not too expensive.,3,2026-01-02,2025-01-02,Service & Staff,23
Staff at door are rude and discriminatory. DJ switched genres way too much. But it’s quite a nice place. Beer not too expensive.,3,2026-01-02,2025-01-02,Price & Entry,23
Staff at door are rude and discriminatory. DJ switched genres way too much. But it’s quite a nice place. Beer not too expensive.,3,2026-01-02,2025-01-02,Facilities & Safety,23
A gem in Taipei! I love the drinks and interiors :) Also the music! Pure good vibes ✨❤️⚡️,5,2026-01-02,2018-01-04,Music & DJ,18
A gem in Taipei! I love the drinks and interiors :) Also the music! Pure good vibes ✨❤️⚡️,5,2026-01-02,2018-01-04,Drinks & Alcohol,18
A gem in Taipei! I love the drinks and interiors :) Also the music! Pure good vibes ✨❤️⚡️,5,2026-01-02,2018-01-04,Crowd & Atmosphere,18
"Great atmosphere, great service, got to know the manager and he was very kind and accommodating.",5,2026-01-02,2025-09-04,Crowd & Atmosphere,16
"Great atmosphere, great service, got to know the manager and he was very kind and accommodating.",5,2026-01-02,2025-09-04,Service & Staff,16
"Great atmosphere, great service, got to know the manager and he was very kind and accommodating.",5,2026-01-02,2025-09-04,Facilities & Safety,16
"Drinks were excellent here, with a good vibe and music too. Slightly more expensive but worth going",5,2026-01-02,2018-01-04,Music & DJ,17
"Drinks were excellent here, with a good vibe and music too. Slightly more expensive but worth going",5,2026-01-02,2018-01-04,Drinks & Alcohol,17
"Drinks were excellent here, with a good vibe and music too. Slightly more expensive but worth going",5,2026-01-02,2018-01-04,Crowd & Atmosphere,17
"Drinks were excellent here, with a good vibe and music too. Slightly more expensive but worth going",5,2026-01-02,2018-01-04,Price & Entry,17
"Bouncer really do judge you by your clothes. I was in a nice top, sneakers, and leggings. Had makeup on and had my hair done. While waiting in line, the guy bouncer was looking me up and down very creepily and the girl bouncer just pointed …",1,2026-01-02,2025-02-06,Crowd & Atmosphere,47
"Bouncer really do judge you by your clothes. I was in a nice top, sneakers, and leggings. Had makeup on and had my hair done. While waiting in line, the guy bouncer was looking me up and down very creepily and the girl bouncer just pointed …",1,2026-01-02,2025-02-06,Service & Staff,47
"Great atmosphere, design/deco and music (no EDM). Very chilled out with great and diverse crowd. They also serve fantastic cocktails.",5,2026-01-02,2018-01-04,Music & DJ,20
"Great atmosphere, design/deco and music (no EDM). Very chilled out with great and diverse crowd. They also serve fantastic cocktails.",5,2026-01-02,2018-01-04,Drinks & Alcohol,20
"Great atmosphere, design/deco and music (no EDM). Very chilled out with great and diverse crowd. They also serve fantastic cocktails.",5,2026-01-02,2018-01-04,Crowd & Atmosphere,20
"First time here as a solo traveler. Amazing atmosphere, service, music and drinks! They also have locker storage to store your bags for 30 Taiwan yen as I came …",5,2026-01-02,2025-01-02,Music & DJ,30
"First time here as a solo traveler. Amazing atmosphere, service, music and drinks! They also have locker storage to store your bags for 30 Taiwan yen as I came …",5,2026-01-02,2025-01-02,Drinks & Alcohol,30
"First time here as a solo traveler. Amazing atmosphere, service, music and drinks! They also have locker storage to store your bags for 30 Taiwan yen as I came …",5,2026-01-02,2025-01-02,Crowd & Atmosphere,30
"First time here as a solo traveler. Amazing atmosphere, service, music and drinks! They also have locker storage to store your bags for 30 Taiwan yen as I came …",5,2026-01-02,2025-01-02,Service & Staff,30
Awesome!  The touching bar because it’s high space and great dinning and drink!,5,2026-01-02,2025-01-02,Drinks & Alcohol,13
Awesome!  The touching bar because it’s high space and great dinning and drink!,5,2026-01-02,2025-01-02,Crowd & Atmosphere,13
Awesome!  The touching bar because it’s high space and great dinning and drink!,5,2026-01-02,2025-01-02,Facilities & Safety,13
"We went on weekday night and like this place.. if you have a heavy meal and want to chill out with cocktails, you’ll find it suits you.",5,2026-01-02,2019-01-04,Drinks & Alcohol,27
"We went on weekday night and like this place.. if you have a heavy meal and want to chill out with cocktails, you’ll find it suits you.",5,2026-01-02,2019-01-04,Facilities & Safety,27
"Cocktails are pretty nice, but the waiter and waitress service pretty suck. Seems like they don’t really appreciate female customers. Better fix their attitude. …",2,2026-01-02,2025-01-02,Drinks & Alcohol,25
"Cocktails are pretty nice, but the waiter and waitress service pretty suck. Seems like they don’t really appreciate female customers. Better fix their attitude. …",2,2026-01-02,2025-01-02,Service & Staff,25
"its Dead now, dont waste ur money here.",3,2026-01-02,2025-06-06,Crowd & Atmosphere,8
"its Dead now, dont waste ur money here.",3,2026-01-02,2025-06-06,Price & Entry,8
"Nice cocktail and service, staff are super friendly!",5,2026-01-02,2025-01-02,Drinks & Alcohol,8
"Nice cocktail and service, staff are super friendly!",5,2026-01-02,2025-01-02,Service & Staff,8
"The bartenders are so friendly and the drinks are phenomenal! Overall, great vibe. I highly recommend this place if you're looking for a good time in the center of Taipei",5,2026-01-02,2025-01-02,Drinks & Alcohol,30
"The bartenders are so friendly and the drinks are phenomenal! Overall, great vibe. I highly recommend this place if you're looking for a good time in the center of Taipei",5,2026-01-02,2025-01-02,Crowd & Atmosphere,30
"The bartenders are so friendly and the drinks are phenomenal! Overall, great vibe. I highly recommend this place if you're looking for a good time in the center of Taipei",5,2026-01-02,2025-01-02,Service & Staff,30
"The bartenders are so friendly and the drinks are phenomenal! Overall, great vibe. I highly recommend this place if you're looking for a good time in the center of Taipei",5,2026-01-02,2025-01-02,Facilities & Safety,30
"Located in the same building as Omni club, this is one of the top social clubs in Taipei.  This place has a luxurious atmosphere with impeccable service. The price can range depending on how much you are willing to spend, so take my price …",5,2026-01-02,2025-01-02,Crowd & Atmosphere,45
"Located in the same building as Omni club, this is one of the top social clubs in Taipei.  This place has a luxurious atmosphere with impeccable service. The price can range depending on how much you are willing to spend, so take my price …",5,2026-01-02,2025-01-02,Service & Staff,45
"Located in the same building as Omni club, this is one of the top social clubs in Taipei.  This place has a luxurious atmosphere with impeccable service. The price can range depending on how much you are willing to spend, so take my price …",5,2026-01-02,2025-01-02,Price & Entry,45
"Located in the same building as Omni club, this is one of the top social clubs in Taipei.  This place has a luxurious atmosphere with impeccable service. The price can range depending on how much you are willing to spend, so take my price …",5,2026-01-02,2025-01-02,Facilities & Safety,45
It's been a minute but I just remember having a great time here. Great people and really nice decor. Go early or book a table cause it's hard to get a seat after 9:30,5,2026-01-02,2025-01-02,Crowd & Atmosphere,34
"First club I checked out as a solo traveller in Taipei. The drinks are amazing, service is amazing, staff is very professional and friendly. They made me feel very welcome. Shout out to Vicente in particular, appreciate the good conversation and recommendations of places to check out  while I'm in Taiwan!",5,2026-01-02,2024-01-03,Drinks & Alcohol,51
"First club I checked out as a solo traveller in Taipei. The drinks are amazing, service is amazing, staff is very professional and friendly. They made me feel very welcome. Shout out to Vicente in particular, appreciate the good conversation and recommendations of places to check out  while I'm in Taiwan!",5,2026-01-02,2024-01-03,Service & Staff,51
"First club I checked out as a solo traveller in Taipei. The drinks are amazing, service is amazing, staff is very professional and friendly. They made me feel very welcome. Shout out to Vicente in particular, appreciate the good conversation and recommendations of places to check out  while I'm in Taiwan!",5,2026-01-02,2024-01-03,Facilities & Safety,51
I was attracted from the google review for the house signature cocktail. The cocktail was good but did not have the wow factor. The environment was really good but the setup is more like a club instead of cocktail bar. I would expect a …,4,2026-01-02,2024-01-03,Drinks & Alcohol,45
I was attracted from the google review for the house signature cocktail. The cocktail was good but did not have the wow factor. The environment was really good but the setup is more like a club instead of cocktail bar. I would expect a …,4,2026-01-02,2024-01-03,Facilities & Safety,45
"The party here starts late. Don’t rock up at 10pm thinking the place is gonna be lit, it’s not. The party gets going around mid night, and it keeps going! Drinks are good, it’s odd that they want the payment upfront for each drink even if …",4,2026-01-02,2024-01-03,Drinks & Alcohol,47
"The party here starts late. Don’t rock up at 10pm thinking the place is gonna be lit, it’s not. The party gets going around mid night, and it keeps going! Drinks are good, it’s odd that they want the payment upfront for each drink even if …",4,2026-01-02,2024-01-03,Price & Entry,47
"The party here starts late. Don’t rock up at 10pm thinking the place is gonna be lit, it’s not. The party gets going around mid night, and it keeps going! Drinks are good, it’s odd that they want the payment upfront for each drink even if …",4,2026-01-02,2024-01-03,Facilities & Safety,47
Refused at the door for dress code because we didn't have a booth reservation but totally let other people in dressed more casually than we were. Boyfriend has a collared shirt and jeans. I had flats paired with my bomber jacket. Similarly dressed people were let in but they refused us even though we already had friends upstairs,1,2026-01-02,2025-01-02,Crowd & Atmosphere,58
Refused at the door for dress code because we didn't have a booth reservation but totally let other people in dressed more casually than we were. Boyfriend has a collared shirt and jeans. I had flats paired with my bomber jacket. Similarly dressed people were let in but they refused us even though we already had friends upstairs,1,2026-01-02,2025-01-02,Service & Staff,58
Refused at the door for dress code because we didn't have a booth reservation but totally let other people in dressed more casually than we were. Boyfriend has a collared shirt and jeans. I had flats paired with my bomber jacket. Similarly dressed people were let in but they refused us even though we already had friends upstairs,1,2026-01-02,2025-01-02,Facilities & Safety,58
Came here my first day in Taiwan and I was very pleased with the services and vibe. The upstairs bar has a good sound system and great acoustics for DJ’s to perform a live set with. Great drinks! Thank you guys!,5,2026-01-02,2024-01-03,Music & DJ,41
Came here my first day in Taiwan and I was very pleased with the services and vibe. The upstairs bar has a good sound system and great acoustics for DJ’s to perform a live set with. Great drinks! Thank you guys!,5,2026-01-02,2024-01-03,Drinks & Alcohol,41
Came here my first day in Taiwan and I was very pleased with the services and vibe. The upstairs bar has a good sound system and great acoustics for DJ’s to perform a live set with. Great drinks! Thank you guys!,5,2026-01-02,2024-01-03,Crowd & Atmosphere,41
Came here my first day in Taiwan and I was very pleased with the services and vibe. The upstairs bar has a good sound system and great acoustics for DJ’s to perform a live set with. Great drinks! Thank you guys!,5,2026-01-02,2024-01-03,Service & Staff,41
Came here my first day in Taiwan and I was very pleased with the services and vibe. The upstairs bar has a good sound system and great acoustics for DJ’s to perform a live set with. Great drinks! Thank you guys!,5,2026-01-02,2024-01-03,Facilities & Safety,41
"We went out with friends and got so surprised at the service by the cutest and nicest girl Joy!! The ray of sunshine, makes your heart smile by the positive attitude and how chatty and kind she was! The best service in Taipei🫶🏻❣️ Joy, we can’t wait to come back to KOR hehe☺️ …",5,2026-01-02,2024-01-03,Service & Staff,54
"We went out with friends and got so surprised at the service by the cutest and nicest girl Joy!! The ray of sunshine, makes your heart smile by the positive attitude and how chatty and kind she was! The best service in Taipei🫶🏻❣️ Joy, we can’t wait to come back to KOR hehe☺️ …",5,2026-01-02,2024-01-03,Facilities & Safety,54
The place was packed on Saturday night when I went and the music was good Hip-Hop and variety. Only downside was that it was so packed it was hard to move around on the floor. Better to have a table.,4,2026-01-02,2025-01-02,Music & DJ,40
The place was packed on Saturday night when I went and the music was good Hip-Hop and variety. Only downside was that it was so packed it was hard to move around on the floor. Better to have a table.,4,2026-01-02,2025-01-02,Crowd & Atmosphere,40
The place was packed on Saturday night when I went and the music was good Hip-Hop and variety. Only downside was that it was so packed it was hard to move around on the floor. Better to have a table.,4,2026-01-02,2025-01-02,Facilities & Safety,40
Cool vibe and unique drinks with friendly bartenders!,5,2026-01-02,2024-01-03,Drinks & Alcohol,8
Cool vibe and unique drinks with friendly bartenders!,5,2026-01-02,2024-01-03,Crowd & Atmosphere,8
Cool vibe and unique drinks with friendly bartenders!,5,2026-01-02,2024-01-03,Service & Staff,8
The ambience of this place was to die for! The bartender vincente was an absolute joy and helped out us find drinks that would suit us. The music was some of the better music in Taipei. Would definitely come back. Very cool vibes!!,5,2026-01-02,2024-01-03,Music & DJ,43
The ambience of this place was to die for! The bartender vincente was an absolute joy and helped out us find drinks that would suit us. The music was some of the better music in Taipei. Would definitely come back. Very cool vibes!!,5,2026-01-02,2024-01-03,Drinks & Alcohol,43
The ambience of this place was to die for! The bartender vincente was an absolute joy and helped out us find drinks that would suit us. The music was some of the better music in Taipei. Would definitely come back. Very cool vibes!!,5,2026-01-02,2024-01-03,Crowd & Atmosphere,43
The ambience of this place was to die for! The bartender vincente was an absolute joy and helped out us find drinks that would suit us. The music was some of the better music in Taipei. Would definitely come back. Very cool vibes!!,5,2026-01-02,2024-01-03,Facilities & Safety,43
"The signature drinks is pretty great and fresh, will surely visit here again!",5,2026-01-02,2024-01-03,Drinks & Alcohol,13
"The signature drinks is pretty great and fresh, will surely visit here again!",5,2026-01-02,2024-01-03,Service & Staff,13
Taipei has so much more to offer than this garbage of a place.  Reasons; …,1,2026-01-02,2025-01-02,Facilities & Safety,15
Lounge like club opens late and makes decent drinks. Just don’t love that everyone smokes indoors.,4,2026-01-02,2024-01-03,Drinks & Alcohol,16
Lounge like club opens late and makes decent drinks. Just don’t love that everyone smokes indoors.,4,2026-01-02,2024-01-03,Crowd & Atmosphere,16
Lounge like club opens late and makes decent drinks. Just don’t love that everyone smokes indoors.,4,2026-01-02,2024-01-03,Service & Staff,16
"The absolute best spot for a night out in Taipei! From the music, to the crowd, to the delicious drinks, beautiful interior and awesome sound system. Also can’t forget to mention how great the staff there is. KOR is the best!! P.S legendary fried chicken-must order!",5,2026-01-02,2024-01-03,Music & DJ,46
"The absolute best spot for a night out in Taipei! From the music, to the crowd, to the delicious drinks, beautiful interior and awesome sound system. Also can’t forget to mention how great the staff there is. KOR is the best!! P.S legendary fried chicken-must order!",5,2026-01-02,2024-01-03,Drinks & Alcohol,46
"The absolute best spot for a night out in Taipei! From the music, to the crowd, to the delicious drinks, beautiful interior and awesome sound system. Also can’t forget to mention how great the staff there is. KOR is the best!! P.S legendary fried chicken-must order!",5,2026-01-02,2024-01-03,Crowd & Atmosphere,46
"The absolute best spot for a night out in Taipei! From the music, to the crowd, to the delicious drinks, beautiful interior and awesome sound system. Also can’t forget to mention how great the staff there is. KOR is the best!! P.S legendary fried chicken-must order!",5,2026-01-02,2024-01-03,Service & Staff,46
Best club to party in Taipei and great hip hop music.,5,2026-01-02,2023-01-03,Music & DJ,11
Amazing place and experience here at KOR. Special shout out to Joy for her hospitality and recommendations! Highly recommend!,5,2026-01-02,2024-01-03,Facilities & Safety,19
