review_text,rating_stars,review_date,scrape_date,real_date,category,word_count
"RUN AWAY FROM THIS CLUB. They just want your cover money and will cram the club with way too many people just to make more money. No place to walk, so don’t even bother thinking about having a place to dance. There were people in the booths …",1,a year ago,12/31/2025,12/31/2024,Crowd & Atmosphere,48
"RUN AWAY FROM THIS CLUB. They just want your cover money and will cram the club with way too many people just to make more money. No place to walk, so don’t even bother thinking about having a place to dance. There were people in the booths …",1,a year ago,12/31/2025,12/31/2024,Price & Entry,48
"RUN AWAY FROM THIS CLUB. They just want your cover money and will cram the club with way too many people just to make more money. No place to walk, so don’t even bother thinking about having a place to dance. There were people in the booths …",1,a year ago,12/31/2025,12/31/2024,Facilities & Safety,48
"I thought people were exaggerating when they said it was way too crowded, they were not I was being squished left and right in the dance floor, no place to move at all. The drinks were good and cheap and pretty much knocked me out and as a …",3,a year ago,12/31/2025,12/31/2024,Drinks & Alcohol,49
"I thought people were exaggerating when they said it was way too crowded, they were not I was being squished left and right in the dance floor, no place to move at all. The drinks were good and cheap and pretty much knocked me out and as a …",3,a year ago,12/31/2025,12/31/2024,Crowd & Atmosphere,49
"I thought people were exaggerating when they said it was way too crowded, they were not I was being squished left and right in the dance floor, no place to move at all. The drinks were good and cheap and pretty much knocked me out and as a …",3,a year ago,12/31/2025,12/31/2024,Service & Staff,49
"I thought people were exaggerating when they said it was way too crowded, they were not I was being squished left and right in the dance floor, no place to move at all. The drinks were good and cheap and pretty much knocked me out and as a …",3,a year ago,12/31/2025,12/31/2024,Price & Entry,49
"I thought people were exaggerating when they said it was way too crowded, they were not I was being squished left and right in the dance floor, no place to move at all. The drinks were good and cheap and pretty much knocked me out and as a …",3,a year ago,12/31/2025,12/31/2024,Facilities & Safety,49
"Smoker's lounge with tasteless for the most part, 100db+ deafening loud music that people hardly seem to dance to. Bouncers were rather rude to me a few times. But hey free entrance (if insisting on not buying drinks/table) and pretty …",2, a year ago,12/31/2025,12/31/2024,Music & DJ,41
"Smoker's lounge with tasteless for the most part, 100db+ deafening loud music that people hardly seem to dance to. Bouncers were rather rude to me a few times. But hey free entrance (if insisting on not buying drinks/table) and pretty …",2, a year ago,12/31/2025,12/31/2024,Drinks & Alcohol,41
"Smoker's lounge with tasteless for the most part, 100db+ deafening loud music that people hardly seem to dance to. Bouncers were rather rude to me a few times. But hey free entrance (if insisting on not buying drinks/table) and pretty …",2, a year ago,12/31/2025,12/31/2024,Crowd & Atmosphere,41
"Smoker's lounge with tasteless for the most part, 100db+ deafening loud music that people hardly seem to dance to. Bouncers were rather rude to me a few times. But hey free entrance (if insisting on not buying drinks/table) and pretty …",2, a year ago,12/31/2025,12/31/2024,Service & Staff,41
"Smoker's lounge with tasteless for the most part, 100db+ deafening loud music that people hardly seem to dance to. Bouncers were rather rude to me a few times. But hey free entrance (if insisting on not buying drinks/table) and pretty …",2, a year ago,12/31/2025,12/31/2024,Price & Entry,41
"At the beginning the DJ was good, late in the night, DJ keeps playing the same songs a lot. Ruff is different from other night clubs in Taipei because it plays pop songs, rather than EDM where you can find it in most other clubs. I also …",4,a year ago,12/31/2025,12/31/2024,Music & DJ,48
"SKIP: ""Crowded"" is an understatement. This club is a ticking time bomb if a fire or crowd crush were to occur. Avoid if you have any sense of self-preservation. BONUS: They also stole my friend's credit card and claimed they lost it within seconds of ordering a drink. 0 Professionalism and they don't care.",1,a year ago,12/31/2025,12/31/2024,Drinks & Alcohol,54
"SKIP: ""Crowded"" is an understatement. This club is a ticking time bomb if a fire or crowd crush were to occur. Avoid if you have any sense of self-preservation. BONUS: They also stole my friend's credit card and claimed they lost it within seconds of ordering a drink. 0 Professionalism and they don't care.",1,a year ago,12/31/2025,12/31/2024,Crowd & Atmosphere,54
"SKIP: ""Crowded"" is an understatement. This club is a ticking time bomb if a fire or crowd crush were to occur. Avoid if you have any sense of self-preservation. BONUS: They also stole my friend's credit card and claimed they lost it within seconds of ordering a drink. 0 Professionalism and they don't care.",1,a year ago,12/31/2025,12/31/2024,Service & Staff,54
"SKIP: ""Crowded"" is an understatement. This club is a ticking time bomb if a fire or crowd crush were to occur. Avoid if you have any sense of self-preservation. BONUS: They also stole my friend's credit card and claimed they lost it within seconds of ordering a drink. 0 Professionalism and they don't care.",1,a year ago,12/31/2025,12/31/2024,Facilities & Safety,54
First time I went there I had a blast. Second time not so much anymore though. Bartender gave me free drinks BUT the people there are unbelievably unfriendly. Music ranges from mid to good depending on DJ. Past 2 pm it gets way too crowded. …,3, 2 years ago,12/31/2025,1/1/2024,Music & DJ,46
First time I went there I had a blast. Second time not so much anymore though. Bartender gave me free drinks BUT the people there are unbelievably unfriendly. Music ranges from mid to good depending on DJ. Past 2 pm it gets way too crowded. …,3, 2 years ago,12/31/2025,1/1/2024,Drinks & Alcohol,46
First time I went there I had a blast. Second time not so much anymore though. Bartender gave me free drinks BUT the people there are unbelievably unfriendly. Music ranges from mid to good depending on DJ. Past 2 pm it gets way too crowded. …,3, 2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,46
First time I went there I had a blast. Second time not so much anymore though. Bartender gave me free drinks BUT the people there are unbelievably unfriendly. Music ranges from mid to good depending on DJ. Past 2 pm it gets way too crowded. …,3, 2 years ago,12/31/2025,1/1/2024,Service & Staff,46
First time I went there I had a blast. Second time not so much anymore though. Bartender gave me free drinks BUT the people there are unbelievably unfriendly. Music ranges from mid to good depending on DJ. Past 2 pm it gets way too crowded. …,3, 2 years ago,12/31/2025,1/1/2024,Price & Entry,46
Dope hip hop club. Plays all the ratchet classics. 600 NT entry that comes with six drink tickets. Unreal deal. …,5,2 years ago,12/31/2025,1/1/2024,Music & DJ,21
Dope hip hop club. Plays all the ratchet classics. 600 NT entry that comes with six drink tickets. Unreal deal. …,5,2 years ago,12/31/2025,1/1/2024,Drinks & Alcohol,21
Dope hip hop club. Plays all the ratchet classics. 600 NT entry that comes with six drink tickets. Unreal deal. …,5,2 years ago,12/31/2025,1/1/2024,Price & Entry,21
So much fun. Popular and random music. Strongly suggest getting a table. Too crowded.,5,a year ago,12/31/2025,12/31/2024,Music & DJ,14
So much fun. Popular and random music. Strongly suggest getting a table. Too crowded.,5,a year ago,12/31/2025,12/31/2024,Drinks & Alcohol,14
So much fun. Popular and random music. Strongly suggest getting a table. Too crowded.,5,a year ago,12/31/2025,12/31/2024,Crowd & Atmosphere,14
"Insane, was so packed. Great spot to bring my out of town buddy.",4,3 months ago,12/31/2025,10/2/2025,Crowd & Atmosphere,13
"Insane, was so packed. Great spot to bring my out of town buddy.",4,3 months ago,12/31/2025,10/2/2025,Facilities & Safety,13
I had fun! The DJ played popular songs and it was nice to sing along with the crowds. Entrance on Friday was 720 TWD with 2 free drink coupons included. Cocktails were ok but i think that's expected in nightclubs; enough to get you tipsy …,4,2 years ago,12/31/2025,1/1/2024,Music & DJ,46
I had fun! The DJ played popular songs and it was nice to sing along with the crowds. Entrance on Friday was 720 TWD with 2 free drink coupons included. Cocktails were ok but i think that's expected in nightclubs; enough to get you tipsy …,4,2 years ago,12/31/2025,1/1/2024,Drinks & Alcohol,46
I had fun! The DJ played popular songs and it was nice to sing along with the crowds. Entrance on Friday was 720 TWD with 2 free drink coupons included. Cocktails were ok but i think that's expected in nightclubs; enough to get you tipsy …,4,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,46
I had fun! The DJ played popular songs and it was nice to sing along with the crowds. Entrance on Friday was 720 TWD with 2 free drink coupons included. Cocktails were ok but i think that's expected in nightclubs; enough to get you tipsy …,4,2 years ago,12/31/2025,1/1/2024,Price & Entry,46
"Music is kinda better than some other because they play songs , sound quality is so so but smoke is more so if you have smoke problem then please think before you go, otherwise dancing is best I think in this club. Other clubs are just like a little dance but if you are crazy dancer than you must go here.",3,2 years ago,12/31/2025,1/1/2024,Music & DJ,61
"Music is kinda better than some other because they play songs , sound quality is so so but smoke is more so if you have smoke problem then please think before you go, otherwise dancing is best I think in this club. Other clubs are just like a little dance but if you are crazy dancer than you must go here.",3,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,61
"Music is kinda better than some other because they play songs , sound quality is so so but smoke is more so if you have smoke problem then please think before you go, otherwise dancing is best I think in this club. Other clubs are just like a little dance but if you are crazy dancer than you must go here.",3,2 years ago,12/31/2025,1/1/2024,Service & Staff,61
No freedom at all. Me and my friends waited for 45mins outside on a Friday night. We had a good pre game and were about to have even more fun at the club. Then they checked my American passport and told me I couldn’t go in because I was wearing slides. What kind of club is this.,1,a year ago,12/31/2025,12/31/2024,Service & Staff,57
No freedom at all. Me and my friends waited for 45mins outside on a Friday night. We had a good pre game and were about to have even more fun at the club. Then they checked my American passport and told me I couldn’t go in because I was wearing slides. What kind of club is this.,1,a year ago,12/31/2025,12/31/2024,Price & Entry,57
"The size it's very decent for a club in Taipei. I went there lot of times and there were always pretty girls, unlike some other clubs that sometimes seems like a big sausage party. The quality of the sound it's pretty good too and if you're into hip hop I'm pretty sure you'll enjoy the music.",5,3 years ago,12/31/2025,1/1/2023,Music & DJ,56
"The size it's very decent for a club in Taipei. I went there lot of times and there were always pretty girls, unlike some other clubs that sometimes seems like a big sausage party. The quality of the sound it's pretty good too and if you're into hip hop I'm pretty sure you'll enjoy the music.",5,3 years ago,12/31/2025,1/1/2023,Drinks & Alcohol,56
"The size it's very decent for a club in Taipei. I went there lot of times and there were always pretty girls, unlike some other clubs that sometimes seems like a big sausage party. The quality of the sound it's pretty good too and if you're into hip hop I'm pretty sure you'll enjoy the music.",5,3 years ago,12/31/2025,1/1/2023,Service & Staff,56
"The best mainstream club in Taipei! They play very good Hiphop, so good that also a non-Hiphop fan will like! The atmosphere is brilliant, everyone is dancing, in contrast to other clubs here they seem to really care that the crowd feels …",5,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,43
"Good atmosphere overall if you go with friends BUT too crowded, you can barely walk or dance. Keep your stuff with you !! MANY THIEVES someone stole my bag, we finally found it but money and card got stolen.",3,a year ago,12/31/2025,12/31/2024,Drinks & Alcohol,39
"Good atmosphere overall if you go with friends BUT too crowded, you can barely walk or dance. Keep your stuff with you !! MANY THIEVES someone stole my bag, we finally found it but money and card got stolen.",3,a year ago,12/31/2025,12/31/2024,Crowd & Atmosphere,39
"Good atmosphere overall if you go with friends BUT too crowded, you can barely walk or dance. Keep your stuff with you !! MANY THIEVES someone stole my bag, we finally found it but money and card got stolen.",3,a year ago,12/31/2025,12/31/2024,Price & Entry,39
"Good atmosphere overall if you go with friends BUT too crowded, you can barely walk or dance. Keep your stuff with you !! MANY THIEVES someone stole my bag, we finally found it but money and card got stolen.",3,a year ago,12/31/2025,12/31/2024,Facilities & Safety,39
"Smells heavily of smoke! Made me faint from the smell. Too crowded and small, they just allow as many as can cram into the space. It’s a hazard as easy to be crowd crushed, couldn’t even dance without someones elbow in my face. Won’t be going back.",1, 2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,47
"Smells heavily of smoke! Made me faint from the smell. Too crowded and small, they just allow as many as can cram into the space. It’s a hazard as easy to be crowd crushed, couldn’t even dance without someones elbow in my face. Won’t be going back.",1, 2 years ago,12/31/2025,1/1/2024,Facilities & Safety,47
"At first, I went there once and the mood was nice, not too crowdy, good music, but everytime since, they didn’t regulate the amount of people going inside. I basically can’t move when I’m there, can’t dance… I really don’t recommend for …",1,2 years ago,12/31/2025,1/1/2024,Music & DJ,43
"At first, I went there once and the mood was nice, not too crowdy, good music, but everytime since, they didn’t regulate the amount of people going inside. I basically can’t move when I’m there, can’t dance… I really don’t recommend for …",1,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,43
0/10. it was so crowded to the point we couldn’t even have any space to walk (literally) cigarettes and smokes everywhere to the point my friend & i were coughing. it seems like they didn't have any maximum capacity and were still letting …,1,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,44
0/10. it was so crowded to the point we couldn’t even have any space to walk (literally) cigarettes and smokes everywhere to the point my friend & i were coughing. it seems like they didn't have any maximum capacity and were still letting …,1,2 years ago,12/31/2025,1/1/2024,Facilities & Safety,44
"Good Club with nice rap music buuuuut, please do something with the amount of people inside (can’t imagine it’s legal). It’s always very very full, impossible to move, getting out of the club takes minutes, and in case of a mass panic many …",1,2 years ago,12/31/2025,1/1/2024,Music & DJ,44
"Good Club with nice rap music buuuuut, please do something with the amount of people inside (can’t imagine it’s legal). It’s always very very full, impossible to move, getting out of the club takes minutes, and in case of a mass panic many …",1,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,44
"Ruff was a disappointing experience. The air quality was unbearable due to excessive cigarette smoke, making it difficult to breathe. The drinks were unreasonably expensive, leaving us feeling financially drained. The overcrowded areas made …",1,2 years ago,12/31/2025,1/1/2024,Drinks & Alcohol,35
"Ruff was a disappointing experience. The air quality was unbearable due to excessive cigarette smoke, making it difficult to breathe. The drinks were unreasonably expensive, leaving us feeling financially drained. The overcrowded areas made …",1,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,35
"Ruff was a disappointing experience. The air quality was unbearable due to excessive cigarette smoke, making it difficult to breathe. The drinks were unreasonably expensive, leaving us feeling financially drained. The overcrowded areas made …",1,2 years ago,12/31/2025,1/1/2024,Price & Entry,35
"Overcrowded because there are too many young/underage teenagers. Second hand smoke is awful, small, almost an hour waiting outside to get in, another half an hour waiting for the locker queue to move only for the cops to show up and start …",1,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,43
"Honestly not the best club in Taipei, it’s very fun when you go with a big group of friends or know the PRs but otherwise very mid, music is very questionable sometimes. Foreigners must remember to bring their physical passport.",3,3 years ago,12/31/2025,1/1/2023,Music & DJ,40
"Honestly not the best club in Taipei, it’s very fun when you go with a big group of friends or know the PRs but otherwise very mid, music is very questionable sometimes. Foreigners must remember to bring their physical passport.",3,3 years ago,12/31/2025,1/1/2023,Service & Staff,40
"Great music and the crowd is pleasant, well-dressed, but if you're looking to have a good time drinking, this might not be the place due to the small bar and consistently long queues for drinks.",5,a year ago,12/31/2025,12/31/2024,Music & DJ,35
"Great music and the crowd is pleasant, well-dressed, but if you're looking to have a good time drinking, this might not be the place due to the small bar and consistently long queues for drinks.",5,a year ago,12/31/2025,12/31/2024,Drinks & Alcohol,35
"Great music and the crowd is pleasant, well-dressed, but if you're looking to have a good time drinking, this might not be the place due to the small bar and consistently long queues for drinks.",5,a year ago,12/31/2025,12/31/2024,Crowd & Atmosphere,35
"Great music and the crowd is pleasant, well-dressed, but if you're looking to have a good time drinking, this might not be the place due to the small bar and consistently long queues for drinks.",5,a year ago,12/31/2025,12/31/2024,Facilities & Safety,35
Used to be the best club in Taipei by far and now it’s the worst by far. Terrible crowd control and greedy management. They just try to stuff as many people into the space as possible and the DJs aren’t even good. They just play songs for …,1, a month ago,12/31/2025,12/1/2025,Music & DJ,48
Used to be the best club in Taipei by far and now it’s the worst by far. Terrible crowd control and greedy management. They just try to stuff as many people into the space as possible and the DJs aren’t even good. They just play songs for …,1, a month ago,12/31/2025,12/1/2025,Crowd & Atmosphere,48
Used to be the best club in Taipei by far and now it’s the worst by far. Terrible crowd control and greedy management. They just try to stuff as many people into the space as possible and the DJs aren’t even good. They just play songs for …,1, a month ago,12/31/2025,12/1/2025,Facilities & Safety,48
Went last weekend. Staff let WAY too many people inside - guaranteed way over capacity. Moving inside the club was next to impossible. For a basement club with one exit this is a massive hazard. Avoid unless you want to be crushed if anything goes wrong.,1,3 years ago,12/31/2025,1/1/2023,Crowd & Atmosphere,46
Went last weekend. Staff let WAY too many people inside - guaranteed way over capacity. Moving inside the club was next to impossible. For a basement club with one exit this is a massive hazard. Avoid unless you want to be crushed if anything goes wrong.,1,3 years ago,12/31/2025,1/1/2023,Service & Staff,46
Went last weekend. Staff let WAY too many people inside - guaranteed way over capacity. Moving inside the club was next to impossible. For a basement club with one exit this is a massive hazard. Avoid unless you want to be crushed if anything goes wrong.,1,3 years ago,12/31/2025,1/1/2023,Facilities & Safety,46
Great music and a decently-priced club. There's this half-asian bartender who always provides great service. Very smiley. I think he deserves a promotion and a raise. Would definitely recommend here.,5,4 years ago,12/31/2025,1/1/2022,Music & DJ,30
